"Time","{endpoint=""web"", handler=""/searches/"", instance=""10.1.0.124:8500"", job=""bet-data-service"", method=""GET"", namespace=""dsbd"", pod=""bet-data-service-777766c6b7-4dpr6"", service=""bet-data-service"", status=""2xx""}"
2022-01-30 23:03:30,0.190
2022-01-30 23:04:00,0.191
2022-01-30 23:04:30,0.191
2022-01-30 23:05:00,0.191
2022-01-30 23:05:30,0.190
2022-01-30 23:06:00,0.190
2022-01-30 23:06:30,0.190
2022-01-30 23:07:00,0.189
2022-01-30 23:07:30,0.189
2022-01-30 23:08:00,0.189
2022-01-30 23:08:30,0.188
2022-01-30 23:09:00,0.187
2022-01-30 23:09:30,0.188
2022-01-30 23:10:00,0.188
2022-01-30 23:10:30,0.187
2022-01-30 23:11:00,0.188
2022-01-30 23:11:30,0.189
2022-01-30 23:12:00,0.188
2022-01-30 23:12:30,0.187
2022-01-30 23:13:00,0.187
2022-01-30 23:13:30,0.186
2022-01-30 23:14:00,0.186
2022-01-30 23:14:30,0.185
2022-01-30 23:15:00,0.185
2022-01-30 23:15:30,0.185
2022-01-30 23:16:00,0.183
2022-01-30 23:16:30,0.183
2022-01-30 23:17:00,0.182
2022-01-30 23:17:30,0.182
2022-01-30 23:18:00,0.183
2022-01-30 23:18:30,0.184
2022-01-30 23:19:00,0.184
2022-01-30 23:19:30,0.183
2022-01-30 23:20:00,0.183
2022-01-30 23:20:30,0.183
2022-01-30 23:21:00,0.183
2022-01-30 23:21:30,0.182
2022-01-30 23:22:00,0.182
2022-01-30 23:22:30,0.181
2022-01-30 23:23:00,0.181
2022-01-30 23:23:30,0.181
2022-01-30 23:24:00,0.182
2022-01-30 23:24:30,0.182
2022-01-30 23:25:00,0.182
2022-01-30 23:25:30,0.181
2022-01-30 23:26:00,0.181
2022-01-30 23:26:30,0.182
2022-01-30 23:27:00,0.183
2022-01-30 23:27:30,0.183
2022-01-30 23:28:00,0.182
2022-01-30 23:28:30,0.181
2022-01-30 23:29:00,0.181
2022-01-30 23:29:30,0.180
2022-01-30 23:30:00,0.180
2022-01-30 23:30:30,0.180
2022-01-30 23:31:00,0.180
2022-01-30 23:31:30,0.180
2022-01-30 23:32:00,0.182
2022-01-30 23:32:30,0.182
2022-01-30 23:33:00,0.182
2022-01-30 23:33:30,0.183
2022-01-30 23:34:00,0.184
2022-01-30 23:34:30,0.184
2022-01-30 23:35:00,0.184
2022-01-30 23:35:30,0.185
2022-01-30 23:36:00,0.185
2022-01-30 23:36:30,0.183
2022-01-30 23:37:00,0.183
2022-01-30 23:37:30,0.183
2022-01-30 23:38:00,0.184
2022-01-30 23:38:30,0.184
2022-01-30 23:39:00,0.185
2022-01-30 23:39:30,0.185
2022-01-30 23:40:00,0.186
2022-01-30 23:40:30,0.186
2022-01-30 23:41:00,0.187
2022-01-30 23:41:30,0.185
2022-01-30 23:42:00,0.185
2022-01-30 23:42:30,0.185
2022-01-30 23:43:00,0.185
2022-01-30 23:43:30,0.185
2022-01-30 23:44:00,0.185
2022-01-30 23:44:30,0.185
2022-01-30 23:45:00,0.183
2022-01-30 23:45:30,0.183
2022-01-30 23:46:00,0.183
2022-01-30 23:46:30,0.182
2022-01-30 23:47:00,0.182
2022-01-30 23:47:30,0.182
2022-01-30 23:48:00,0.183
2022-01-30 23:48:30,0.183
2022-01-30 23:49:00,0.183
2022-01-30 23:49:30,0.182
2022-01-30 23:50:00,0.181
2022-01-30 23:50:30,0.181
2022-01-30 23:51:00,0.182
2022-01-30 23:51:30,0.182
2022-01-30 23:52:00,0.182
2022-01-30 23:52:30,0.181
2022-01-30 23:53:00,0.182
2022-01-30 23:53:30,0.182
2022-01-30 23:54:00,0.182
2022-01-30 23:54:30,0.182
2022-01-30 23:55:00,0.181
2022-01-30 23:55:30,0.180
2022-01-30 23:56:00,0.180
2022-01-30 23:56:30,0.180
2022-01-30 23:57:00,0.181
2022-01-30 23:57:30,0.179
2022-01-30 23:58:00,0.177
2022-01-30 23:58:30,0.177
2022-01-30 23:59:00,0.178
2022-01-30 23:59:30,0.177
2022-01-31 00:00:00,0.177
2022-01-31 00:00:30,0.177
2022-01-31 00:01:00,0.176
2022-01-31 00:01:30,0.177
2022-01-31 00:02:00,0.178
2022-01-31 00:02:30,0.179
2022-01-31 00:03:00,0.180
2022-01-31 00:03:30,0.179
2022-01-31 00:04:00,0.180
2022-01-31 00:04:30,0.180
2022-01-31 00:05:00,0.180
2022-01-31 00:05:30,0.180
2022-01-31 00:06:00,0.181
2022-01-31 00:06:30,0.182
2022-01-31 00:07:00,0.180
2022-01-31 00:07:30,0.180
2022-01-31 00:08:00,0.180
2022-01-31 00:08:30,0.180
2022-01-31 00:09:00,0.180
2022-01-31 00:09:30,0.180
2022-01-31 00:10:00,0.181
2022-01-31 00:10:30,0.181
2022-01-31 00:11:00,0.180
2022-01-31 00:11:30,0.180
2022-01-31 00:12:00,0.181
2022-01-31 00:12:30,0.182
2022-01-31 00:13:00,0.182
2022-01-31 00:13:30,0.182
2022-01-31 00:14:00,0.183
2022-01-31 00:14:30,0.182
2022-01-31 00:15:00,0.181
2022-01-31 00:15:30,0.182
2022-01-31 00:16:00,0.182
2022-01-31 00:16:30,0.182
2022-01-31 00:17:00,0.182
2022-01-31 00:17:30,0.182
2022-01-31 00:18:00,0.181
2022-01-31 00:18:30,0.181
2022-01-31 00:19:00,0.181
2022-01-31 00:19:30,0.180
2022-01-31 00:20:00,0.181
2022-01-31 00:20:30,0.180
2022-01-31 00:21:00,0.181
2022-01-31 00:21:30,0.180
2022-01-31 00:22:00,0.179
2022-01-31 00:22:30,0.179
2022-01-31 00:23:00,0.179
2022-01-31 00:23:30,0.178
2022-01-31 00:24:00,0.178
2022-01-31 00:24:30,0.178
2022-01-31 00:25:00,0.179
2022-01-31 00:25:30,0.180
2022-01-31 00:26:00,0.178
2022-01-31 00:26:30,0.177
2022-01-31 00:27:00,0.177
2022-01-31 00:27:30,0.179
2022-01-31 00:28:00,0.180
2022-01-31 00:28:30,0.178
2022-01-31 00:29:00,0.180
2022-01-31 00:29:30,0.180
2022-01-31 00:30:00,0.180
2022-01-31 00:30:30,0.180
2022-01-31 00:31:00,0.180
2022-01-31 00:31:30,0.178
2022-01-31 00:32:00,0.177
2022-01-31 00:32:30,0.177
2022-01-31 00:33:00,0.177
2022-01-31 00:33:30,0.176
2022-01-31 00:34:00,0.176
2022-01-31 00:34:30,0.176
2022-01-31 00:35:00,0.176
2022-01-31 00:35:30,0.176
2022-01-31 00:36:00,0.178
2022-01-31 00:36:30,0.178
2022-01-31 00:37:00,0.179
2022-01-31 00:37:30,0.179
2022-01-31 00:38:00,0.179
2022-01-31 00:38:30,0.179
2022-01-31 00:39:00,0.180
2022-01-31 00:39:30,0.180
2022-01-31 00:40:00,0.179
2022-01-31 00:40:30,0.178
2022-01-31 00:41:00,0.179
2022-01-31 00:41:30,0.179
2022-01-31 00:42:00,0.180
2022-01-31 00:42:30,0.180
2022-01-31 00:43:00,0.180
2022-01-31 00:43:30,0.180
2022-01-31 00:44:00,0.179
2022-01-31 00:44:30,0.180
2022-01-31 00:45:00,0.180
2022-01-31 00:45:30,0.180
2022-01-31 00:46:00,0.180
2022-01-31 00:46:30,0.180
2022-01-31 00:47:00,0.181
2022-01-31 00:47:30,0.181
2022-01-31 00:48:00,0.180
2022-01-31 00:48:30,0.180
2022-01-31 00:49:00,0.180
2022-01-31 00:49:30,0.180
2022-01-31 00:50:00,0.180
2022-01-31 00:50:30,0.180
2022-01-31 00:51:00,0.180
2022-01-31 00:51:30,0.180
2022-01-31 00:52:00,0.182
2022-01-31 00:52:30,0.181
2022-01-31 00:53:00,0.181
2022-01-31 00:53:30,0.180
2022-01-31 00:54:00,0.180
2022-01-31 00:54:30,0.179
2022-01-31 00:55:00,0.180
2022-01-31 00:55:30,0.179
2022-01-31 00:56:00,0.179
2022-01-31 00:56:30,0.179
2022-01-31 00:57:00,0.180
2022-01-31 00:57:30,0.181
2022-01-31 00:58:00,0.182
2022-01-31 00:58:30,0.182
2022-01-31 00:59:00,0.181
2022-01-31 00:59:30,0.182
2022-01-31 01:00:00,0.181
2022-01-31 01:00:30,0.183
2022-01-31 01:01:00,0.183
2022-01-31 01:01:30,0.184
2022-01-31 01:02:00,0.184
2022-01-31 01:02:30,0.183
2022-01-31 01:03:00,0.183
2022-01-31 01:03:30,0.183
2022-01-31 01:04:00,0.182
2022-01-31 01:04:30,0.183
2022-01-31 01:05:00,0.183
2022-01-31 01:05:30,0.183
2022-01-31 01:06:00,0.183
2022-01-31 01:06:30,0.183
2022-01-31 01:07:00,0.184
2022-01-31 01:07:30,0.184
2022-01-31 01:08:00,0.183
2022-01-31 01:08:30,0.184
2022-01-31 01:09:00,0.184
2022-01-31 01:09:30,0.183
2022-01-31 01:10:00,0.183
2022-01-31 01:10:30,0.183
2022-01-31 01:11:00,0.183
2022-01-31 01:11:30,0.183
2022-01-31 01:12:00,0.183
2022-01-31 01:12:30,0.183
2022-01-31 01:13:00,0.183
2022-01-31 01:13:30,0.183
2022-01-31 01:14:00,0.185
2022-01-31 01:14:30,0.187
2022-01-31 01:15:00,0.185
2022-01-31 01:15:30,0.186
2022-01-31 01:16:00,0.187
2022-01-31 01:16:30,0.187
2022-01-31 01:17:00,0.187
2022-01-31 01:17:30,0.189
2022-01-31 01:18:00,0.190
2022-01-31 01:18:30,0.190
2022-01-31 01:19:00,0.190
2022-01-31 01:19:30,0.189
2022-01-31 01:20:00,0.190
2022-01-31 01:20:30,0.190
2022-01-31 01:21:00,0.190
2022-01-31 01:21:30,0.192
2022-01-31 01:22:00,0.192
2022-01-31 01:22:30,0.191
2022-01-31 01:23:00,0.191
2022-01-31 01:23:30,0.192
2022-01-31 01:24:00,0.191
2022-01-31 01:24:30,0.191
2022-01-31 01:25:00,0.191
2022-01-31 01:25:30,0.192
2022-01-31 01:26:00,0.193
2022-01-31 01:26:30,0.193
2022-01-31 01:27:00,0.190
2022-01-31 01:27:30,0.190
2022-01-31 01:28:00,0.190
2022-01-31 01:28:30,0.190
2022-01-31 01:29:00,0.189
2022-01-31 01:29:30,0.190
2022-01-31 01:30:00,0.191
2022-01-31 01:30:30,0.190
2022-01-31 01:31:00,0.189
2022-01-31 01:31:30,0.189
2022-01-31 01:32:00,0.190
2022-01-31 01:32:30,0.190
2022-01-31 01:33:00,0.191
2022-01-31 01:33:30,0.190
2022-01-31 01:34:00,0.191
2022-01-31 01:34:30,0.191
2022-01-31 01:35:00,0.191
2022-01-31 01:35:30,0.192
2022-01-31 01:36:00,0.192
2022-01-31 01:36:30,0.191
2022-01-31 01:37:00,0.191
2022-01-31 01:37:30,0.190
2022-01-31 01:38:00,0.189
2022-01-31 01:38:30,0.189
2022-01-31 01:39:00,0.189
2022-01-31 01:39:30,0.189
2022-01-31 01:40:00,0.190
2022-01-31 01:40:30,0.190
2022-01-31 01:41:00,0.189
2022-01-31 01:41:30,0.189
2022-01-31 01:42:00,0.189
2022-01-31 01:42:30,0.189
2022-01-31 01:43:00,0.189
2022-01-31 01:43:30,0.188
2022-01-31 01:44:00,0.188
2022-01-31 01:44:30,0.188
2022-01-31 01:45:00,0.188
2022-01-31 01:45:30,0.188
2022-01-31 01:46:00,0.187
2022-01-31 01:46:30,0.188
2022-01-31 01:47:00,0.189
2022-01-31 01:47:30,0.189
2022-01-31 01:48:00,0.189
2022-01-31 01:48:30,0.189
2022-01-31 01:49:00,0.189
2022-01-31 01:49:30,0.190
2022-01-31 01:50:00,0.189
2022-01-31 01:50:30,0.190
2022-01-31 01:51:00,0.190
2022-01-31 01:51:30,0.190
2022-01-31 01:52:00,0.190
2022-01-31 01:52:30,0.191
2022-01-31 01:53:00,0.191
2022-01-31 01:53:30,0.190
2022-01-31 01:54:00,0.191
2022-01-31 01:54:30,0.190
2022-01-31 01:55:00,0.191
2022-01-31 01:55:30,0.192
2022-01-31 01:56:00,0.192
2022-01-31 01:56:30,0.192
2022-01-31 01:57:00,0.192
2022-01-31 01:57:30,0.190
2022-01-31 01:58:00,0.190
2022-01-31 01:58:30,0.190
2022-01-31 01:59:00,0.189
2022-01-31 01:59:30,0.189
2022-01-31 02:00:00,0.187
2022-01-31 02:00:30,0.187
2022-01-31 02:01:00,0.187
2022-01-31 02:01:30,0.188
2022-01-31 02:02:00,0.189
2022-01-31 02:02:30,0.188
2022-01-31 02:03:00,0.188
2022-01-31 02:03:30,0.188

